,Year_0,row_id,fund2
590,2022,2022_920,Foundations & consortiums
591,2022,2022_921,Foundations & consortiums
592,2022,2022_967,Foundations & consortiums
593,2022,2022_973,Foundations & consortiums
594,2022,2022_998,Foundations & consortiums
595,2022,2022_93,Venture capital
596,2022,2022_221,Venture capital
597,2022,2022_585,Venture capital
598,2022,2022_800,Venture capital
599,2022,2022_938,Venture capital
600,2022,2022_0,Institutional support
601,2022,2022_1,Institutional support
602,2022,2022_3,Institutional support
603,2022,2022_5,Institutional support
604,2022,2022_6,Institutional support
605,2022,2022_7,Institutional support
606,2022,2022_8,Institutional support
607,2022,2022_10,Institutional support
608,2022,2022_13,Institutional support
609,2022,2022_14,Institutional support
610,2022,2022_15,Institutional support
611,2022,2022_17,Institutional support
612,2022,2022_20,Institutional support
613,2022,2022_21,Institutional support
614,2022,2022_24,Institutional support
615,2022,2022_25,Institutional support
616,2022,2022_28,Institutional support
617,2022,2022_29,Institutional support
618,2022,2022_33,Institutional support
619,2022,2022_36,Institutional support
620,2022,2022_41,Institutional support
621,2022,2022_44,Institutional support
622,2022,2022_45,Institutional support
623,2022,2022_48,Institutional support
624,2022,2022_51,Institutional support
625,2022,2022_53,Institutional support
626,2022,2022_55,Institutional support
627,2022,2022_56,Institutional support
628,2022,2022_63,Institutional support
629,2022,2022_66,Institutional support
630,2022,2022_73,Institutional support
631,2022,2022_74,Institutional support
632,2022,2022_75,Institutional support
633,2022,2022_76,Institutional support
634,2022,2022_77,Institutional support
635,2022,2022_82,Institutional support
636,2022,2022_84,Institutional support
637,2022,2022_87,Institutional support
638,2022,2022_88,Institutional support
639,2022,2022_89,Institutional support
640,2022,2022_90,Institutional support
641,2022,2022_93,Institutional support
642,2022,2022_97,Institutional support
643,2022,2022_99,Institutional support
644,2022,2022_100,Institutional support
645,2022,2022_103,Institutional support
646,2022,2022_106,Institutional support
647,2022,2022_108,Institutional support
648,2022,2022_110,Institutional support
649,2022,2022_111,Institutional support
650,2022,2022_114,Institutional support
