,Year_0,row_id,conf2can_0
1036,2022,2022_702,IWOCL
1037,2022,2022_702,ISC
1043,2022,2022_708,Text Encoding Initiative (TEI)
1044,2022,2022_708,Digital Humanities (DH)
1045,2022,2022_708,Digital Humanities im deutschsprachigen Raum (DHd)
1054,2022,2022_717,ESIP
1059,2022,2022_722,DPG Frühjahrstagung
1061,2022,2022_723,ECDL
1062,2022,2022_723,TPLD
1063,2022,2022_723,EDDI
1064,2022,2022_723,IASSIST
1065,2022,2022_723,JCDL
1066,2022,2022_724,American Physical Society
1069,2022,2022_726,AGU
1070,2022,2022_726,Planetary Data Workshop
1075,2022,2022_730,IPDPS
1079,2022,2022_734,IEEE Transactions on Visualization and Computer Graphics
1081,2022,2022_736,TDWG
1082,2022,2022_736,Evolution
1085,2022,2022_739,PEARC
1097,2022,2022_751,Radio Astronomy and VLBI Technical workshops/conferences
1098,2022,2022_752,Microbiome Data Science; phyllosphere fortnight
1105,2022,2022_757,Easybuild User Meeting
1106,2022,2022_757,SuperComputing
1111,2022,2022_760,PEARC
1119,2022,2022_768,Computer Applications in Archaeology (CAA)
1120,2022,2022_768,Young Researchers in Archaeology (YRA)
1122,2022,2022_770,Everywhere
1124,2022,2022_772,Society for Computers in Psychology
1125,2022,2022_773,Metrics workshop
1126,2022,2022_773,CLBib
1127,2022,2022_773,ICICT
1128,2022,2022_773,ICETST
1137,2022,2022_782,ICAS
1138,2022,2022_783,DLRK
1139,2022,2022_784,IMEKO
1141,2022,2022_785,NeuroNex
1142,2022,2022_785,Connectomics Meeting
1145,2022,2022_788,ABACBS
1146,2022,2022_788,Lorne Infection and Immunity
1149,2022,2022_791,Ecological Society of Australia Annual Meeting
1153,2022,2022_795,eResearch Australasia
1154,2022,2022_795,ABACBS
1155,2022,2022_795,Lorne Genome 
1159,2022,2022_799,Bioinformatics Open Source Conference (BOSC)
1164,2022,2022_804,Bauinformatikforum
1168,2022,2022_808,BioSB
1170,2022,2022_809,BOSC
1172,2022,2022_809,Plant and Animal Genomes
1173,2022,2022_809,AGBT
1174,2022,2022_809,Phenoharmonis
1181,2022,2022_815,ParCFD
1183,2022,2022_816,Digital Humanities
1189,2022,2022_819,Euroscipy
1190,2022,2022_819,pyconFR
1201,2022,2022_830,Several
