,Year_0,row_id,currentEmp13
640,2022,2022_361,Classics & Ancient History
641,2022,2022_394,Classics & Ancient History
642,2022,2022_475,Classics & Ancient History
643,2022,2022_527,Classics & Ancient History
644,2022,2022_530,Classics & Ancient History
645,2022,2022_540,Classics & Ancient History
646,2022,2022_549,Classics & Ancient History
647,2022,2022_556,Classics & Ancient History
648,2022,2022_562,Classics & Ancient History
649,2022,2022_577,Classics & Ancient History
650,2022,2022_621,Classics & Ancient History
651,2022,2022_684,Classics & Ancient History
652,2022,2022_801,Classics & Ancient History
653,2022,2022_832,Classics & Ancient History
654,2022,2022_849,Classics & Ancient History
655,2022,2022_948,Classics & Ancient History
656,2022,2022_29,Communication & Media Studies
657,2022,2022_43,Communication & Media Studies
658,2022,2022_178,Communication & Media Studies
659,2022,2022_214,Communication & Media Studies
660,2022,2022_216,Communication & Media Studies
661,2022,2022_232,Communication & Media Studies
662,2022,2022_361,Communication & Media Studies
663,2022,2022_376,Communication & Media Studies
664,2022,2022_394,Communication & Media Studies
665,2022,2022_437,Communication & Media Studies
666,2022,2022_448,Communication & Media Studies
667,2022,2022_562,Communication & Media Studies
668,2022,2022_581,Communication & Media Studies
669,2022,2022_582,Communication & Media Studies
670,2022,2022_672,Communication & Media Studies
671,2022,2022_764,Communication & Media Studies
672,2022,2022_801,Communication & Media Studies
673,2022,2022_825,Communication & Media Studies
674,2022,2022_836,Communication & Media Studies
675,2022,2022_879,Communication & Media Studies
676,2022,2022_925,Communication & Media Studies
677,2022,2022_936,Communication & Media Studies
678,2022,2022_394,Complementary Medicine
679,2022,2022_684,Complementary Medicine
680,2022,2022_801,Complementary Medicine
681,2022,2022_807,Complementary Medicine
682,2022,2022_821,Complementary Medicine
683,2022,2022_829,Complementary Medicine
684,2022,2022_2,Computer Science
685,2022,2022_5,Computer Science
686,2022,2022_6,Computer Science
687,2022,2022_7,Computer Science
688,2022,2022_10,Computer Science
689,2022,2022_13,Computer Science
690,2022,2022_14,Computer Science
691,2022,2022_17,Computer Science
692,2022,2022_18,Computer Science
693,2022,2022_19,Computer Science
694,2022,2022_21,Computer Science
695,2022,2022_22,Computer Science
696,2022,2022_25,Computer Science
697,2022,2022_26,Computer Science
698,2022,2022_30,Computer Science
699,2022,2022_32,Computer Science
700,2022,2022_33,Computer Science
701,2022,2022_39,Computer Science
702,2022,2022_40,Computer Science
703,2022,2022_41,Computer Science
704,2022,2022_42,Computer Science
705,2022,2022_43,Computer Science
706,2022,2022_47,Computer Science
707,2022,2022_48,Computer Science
708,2022,2022_55,Computer Science
709,2022,2022_57,Computer Science
710,2022,2022_61,Computer Science
711,2022,2022_62,Computer Science
712,2022,2022_63,Computer Science
713,2022,2022_64,Computer Science
714,2022,2022_65,Computer Science
715,2022,2022_68,Computer Science
716,2022,2022_70,Computer Science
717,2022,2022_73,Computer Science
718,2022,2022_76,Computer Science
719,2022,2022_77,Computer Science
720,2022,2022_80,Computer Science
721,2022,2022_89,Computer Science
722,2022,2022_93,Computer Science
723,2022,2022_95,Computer Science
724,2022,2022_97,Computer Science
725,2022,2022_98,Computer Science
726,2022,2022_99,Computer Science
727,2022,2022_100,Computer Science
728,2022,2022_103,Computer Science
729,2022,2022_106,Computer Science
730,2022,2022_108,Computer Science
731,2022,2022_109,Computer Science
732,2022,2022_113,Computer Science
733,2022,2022_119,Computer Science
734,2022,2022_123,Computer Science
735,2022,2022_125,Computer Science
736,2022,2022_129,Computer Science
737,2022,2022_132,Computer Science
738,2022,2022_133,Computer Science
739,2022,2022_137,Computer Science
740,2022,2022_138,Computer Science
741,2022,2022_140,Computer Science
742,2022,2022_141,Computer Science
743,2022,2022_142,Computer Science
744,2022,2022_143,Computer Science
745,2022,2022_145,Computer Science
746,2022,2022_146,Computer Science
747,2022,2022_150,Computer Science
748,2022,2022_151,Computer Science
749,2022,2022_152,Computer Science
750,2022,2022_154,Computer Science
751,2022,2022_158,Computer Science
752,2022,2022_164,Computer Science
753,2022,2022_166,Computer Science
754,2022,2022_168,Computer Science
755,2022,2022_171,Computer Science
756,2022,2022_173,Computer Science
757,2022,2022_174,Computer Science
